label,start_time,end_time,geometry
0,2014-02-02 16:03:43.393432,2014-02-02 16:09:12.916026,POINT (12.46888756690554 41.9054825117638)
1,2014-02-02 16:48:10.246582,2014-02-02 16:56:10.862040,POINT (12.50109685843336 41.90134433337147)
2,2014-02-02 16:56:25.201088,2014-02-02 16:59:55.077900,POINT (12.50098521106478 41.90123084488005)
3,2014-02-02 17:30:20.974176,2014-02-02 17:32:35.596049,POINT (12.5016774608109 41.90254242322489)
4,2014-02-02 17:35:20.609248,2014-02-02 17:38:51.566061,POINT (12.5021523067725 41.90229650234292)
5,2014-02-02 17:41:05.561182,2014-02-02 17:48:50.606750,POINT (12.5025852213002 41.90204603201172)
6,2014-02-02 17:49:20.604796,2014-02-02 17:54:20.564892,POINT (12.50276649303405 41.90205193277312)
7,2014-02-02 18:16:58.366980,2014-02-02 18:20:42.633717,POINT (12.49155741605019 41.91784274206383)
8,2014-02-02 19:35:06.122657,2014-02-02 19:39:52.269263,POINT (12.52985078524529 41.90966697711703)
9,2014-02-02 21:07:43.349323,2014-02-02 21:12:28.344970,POINT (12.4728762168042 41.89692199417911)
10,2014-02-02 21:14:12.971795,2014-02-02 21:16:27.982148,POINT (12.47280354439569 41.89711749847685)
11,2014-02-02 21:19:14.033001,2014-02-02 21:26:43.284156,POINT (12.47295004140416 41.89710134100521)
